Id,Title,Regime,FromYear,ToYear,Height,Timeline_Id,Collection_Id,ForkNode,Depth,SubtreeSize
00000000-0000-0000-0000-000000000000,Cosmos,Cosmos,-13700000000,9999,80,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,8589934592,0,1235
1564EEFB-BD6C-4959-AA59-622EDBF6F9B8,Hadean Eon,Earth,-4570000000,-4000000000,90,BC082F40-C56C-4934-8132-41A7534F5A12,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,3
48FBB8A8-7C5D-49C3-83E1-98939AE2AE67,Earth & Solar System,Earth,-4570000000,9999,75,00000000-0000-0000-0000-000000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,1,1135
D4809BE4-3CF9-4DDD-9703-3CA24E4D3A26,Life,Life,-4000000000,9999,60,48FBB8A8-7C5D-49C3-83E1-98939AE2AE67,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,2,1026
E33F6068-8FA7-42B7-B344-DD59B9E1A91E,Archean,Life,-4000000000,-2500000000,40,D4809BE4-3CF9-4DDD-9703-3CA24E4D3A26,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,23
99E0C2EF-0A73-43A9-B8B1-FCF4D39FF692,Proterozoic,Life,-2500000000,-540000000,49,D4809BE4-3CF9-4DDD-9703-3CA24E4D3A26,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,28
D8181B7F-D119-4362-81F2-9BB5E7D76D4A,3 Large Proterozoic Craters,Earth,-2100000000,-550000000,100,544749CC-845C-47A8-A728-45C319D7E72D,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,7
91FA5A40-E44B-479F-9689-8E67835AB219,Major Phanerozoic Impact Events,Earth,-550000000,9999,NULL,544749CC-845C-47A8-A728-45C319D7E72D,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,10
096717FD-64DB-4416-92A7-6D35C83777D5,Phanerozoic,Life,-540000000,9999,34,D4809BE4-3CF9-4DDD-9703-3CA24E4D3A26,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,77
75405BB3-BDA7-45A0-8C2B-77C1F54356B4,Paleozoic,Life,-540000000,-251000000,NULL,096717FD-64DB-4416-92A7-6D35C83777D5,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,4,11
F24C9B18-198D-4D0A-9A1E-7B46841E5F1F,Paleozoic Era,Earth,-540000000,-250000000,80,BF4BAC4B-2EAD-4B6F-A75D-C61C61FC53D3,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,4,10
4A4897E0-CE40-4FE2-BE92-5E1000466F91,Mesozoic,Life,-251000000,-65500000,NULL,096717FD-64DB-4416-92A7-6D35C83777D5,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,4,30
8D12726A-C70B-472E-93D6-17B540E530BB,Pelagic sequence,Earth,-119000000,-24000000,85,F83C035E-90F3-4640-B920-442DDB362788,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,15
9E0DDE7C-0623-4DC4-8A8C-2BE001EAE525,Fucoid marls,Earth,-119000000,-95000000,NULL,8D12726A-C70B-472E-93D6-17B540E530BB,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,4,3
2CBC10BC-02B4-4D90-84E2-7CFFCC2FD109,Paleogene,Life,-65500000,-23000000,NULL,2298522C-F8D2-4877-B438-1BBB9C72E4AB,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,5,15
A6B821DF-2A4D-4F0E-BAF5-28E47ECB720B,Human Prehistory,Pre-history,-8500000,9999,0.05,D4809BE4-3CF9-4DDD-9703-3CA24E4D3A26,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,3,890
6F6E6F61-7F0E-4CE0-BAFB-8D414DA6AA28,Hominine Phylogeny,Pre-history,-8000000,9999,400,A6B821DF-2A4D-4F0E-BAF5-28E47ECB720B,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,0,4,879
