Id,Title,Year,Collection_Id,Timeline_Id,Depth
9160AE5D-B13C-4865-8B37-4F2638CA5BC7,Threshold 1: The Big Bang,-13700000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
05244045-5D81-456A-80F6-2708CFFF6F9A,Threshold 2: The Stars Light Up,-13500000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
C726A9C3-63EC-455C-AC5D-0F84643F09A6,The Birth of the Milky Way Galaxy,-13200000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
5BAEC96D-B648-4B96-879D-4E8F0F5129C6,Lyman Alpha Blob,-12000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
ABB759EB-8479-4C51-A466-896731A18B2C,Threshold 3: Creating New Chemical Elements ,-12000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
A37D5061-B5F7-4D11-B1DF-6E9FAA297F72,At the Core of NGC 6752 ,-10000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
85AA5683-F1A5-4D01-9699-EA00CE2EF73D,Galaxies,-9600000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
59C90472-0E89-4319-B187-18A5CF315307,NGC 6791,-8000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
7A3719B4-3A41-4593-859C-FF83D695A632,A Five Quasar Gravitational Lens ,-7000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
2BA7B851-7DC7-4B99-A32F-5AF9EFDB26D2,MACS J0025,-6000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
911323B5-8D36-43A9-8190-A7359183C778,Picturing the Universe,-5000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
132A9D16-341F-4698-98A0-D53D66BA3192,SN 2005ap: The Brightest Supernova Yet Found,-5000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
E3A3840B-5F78-4AE8-B85B-6B1D3B3F3E10,Picturing the Early Earth,-4560000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,1564EEFB-BD6C-4959-AA59-622EDBF6F9B8,4
48A39B56-61F9-4467-8100-91DAA206A470,Threshold 4: Origins of The Earth and The Solar System,-4560000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,48FBB8A8-7C5D-49C3-83E1-98939AE2AE67,2
41705533-76C9-4B8F-8F66-FF0C56A527CA,The Solar System,-4560000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
B46C295F-69FC-478E-B1DD-67CA0FBA38DB,Step 1: The First Prokaryotes,-4000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,E33F6068-8FA7-42B7-B344-DD59B9E1A91E,4
6066DCC9-64C4-4418-8D98-7F9AF5F4FF47,Rembrandt Impact Basin on Mercury ,-4000000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
03949F0C-9A65-4D29-8781-87E8ACFAB9DD,Threshold 5: Origins of Life ,-3800000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,D4809BE4-3CF9-4DDD-9703-3CA24E4D3A26,3
E0AF4F89-8190-426B-B8F9-3941C06F3D2C,Bullet Cluster Formed,-3400000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,00000000-0000-0000-0000-000000000000,1
847B0AA5-357C-4D1B-84C2-501BDDEC5A2E,Step 2: Aerobic Respiration,-2500000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,E33F6068-8FA7-42B7-B344-DD59B9E1A91E,4
9688085C-78FE-47E3-A672-E46C5A28DE35,Vredefort Crater,-2023000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,D8181B7F-D119-4362-81F2-9BB5E7D76D4A,4
B54820BE-AA80-4E78-916D-DBFAAA36ABD4,Sudbury Basin,-1849000000,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,D8181B7F-D119-4362-81F2-9BB5E7D76D4A,4
